"date","time","size","version","os","country","ip_id"
"2019-10-05","18:32:04",84681884,"3.6.1","win","US",70
"2019-10-05","18:32:01",84918694,"devel","win","US",11
"2019-10-05","18:32:28",84681892,"3.6.1","win","CI",71
"2019-10-05","18:32:40",79430073,"3.6.1","osx","CO",72
"2019-10-05","18:32:51",64256807,"3.4.1","osx",NA,1
"2019-10-05","18:33:39",79426993,"3.6.1","osx","US",73
"2019-10-05","18:35:09",74971658,"3.3.3","osx","NL",74
"2019-10-05","18:35:18",84681884,"3.6.1","win","US",75
"2019-10-05","18:35:43",84774887,"3.6.1","win","US",76
"2019-10-05","08:41:29",84681891,"3.6.1","win",NA,1
"2019-10-05","08:42:40",84774771,"3.6.1","win","US",23
"2019-10-05","08:42:33",74889283,"3.3.3","osx","US",3
"2019-10-05","08:43:05",79338817,"latest","osx","US",3
"2019-10-05","08:43:09",30497671,"3.6.1","src","TH",77
"2019-10-05","08:43:28",79435319,"3.6.1","osx","TH",77
"2019-10-05","08:43:35",84861043,"3.6.1","win","GB",78
"2019-10-05","08:43:58",84774902,"3.6.1","win",NA,1
"2019-10-05","08:43:58",79426338,"3.6.1","osx","TW",79
"2019-10-05","08:43:59",84681881,"3.6.1","win","JP",80
"2019-10-05","08:44:11",84775144,"3.6.1","win","PL",81
"2019-10-05","08:44:17",84925851,"3.6.1patched","win","US",23
"2019-10-05","08:44:42",1908706,"3.6.1","win","IR",82
"2019-10-05","13:49:12",79426364,"3.6.1","osx","MX",83
"2019-10-05","01:35:45",84681884,"3.6.1","win","US",84
"2019-10-05","01:36:25",84811824,"3.6.1","win","PE",85
"2019-10-05","01:36:58",79426014,"3.6.1","osx","US",86
"2019-10-05","01:37:24",84681891,"3.6.1","win","BR",87
"2019-10-05","01:38:20",84915260,"devel","win","US",37
"2019-10-05","01:39:43",84774994,"3.6.1","win","BR",88
"2019-10-05","01:39:43",84932898,"3.6.1patched","win","US",23
"2019-10-05","07:27:13",79426002,"3.6.1","osx","GB",89
"2019-10-05","07:27:15",84681891,"3.6.1","win","KR",90
"2019-10-05","07:27:54",79426310,"3.6.1","osx","DE",91
"2019-10-05","07:28:09",84775486,"3.6.1","win","IN",92
"2019-10-05","07:29:11",84774911,"3.6.1","win","TW",93
"2019-10-05","21:00:03",84774950,"3.6.1","win","PE",94
"2019-10-05","07:51:04",84936305,"3.6.1patched","win","US",20
"2019-10-05","07:51:23",84779520,"3.6.1","win","ES",95
"2019-10-05","07:51:48",84775229,"3.6.1","win","ES",95
"2019-10-05","07:52:00",84935264,"3.6.1patched","win","US",37
"2019-10-05","07:52:33",84785056,"3.6.1","win","US",20
"2019-10-05","07:52:49",84775762,"3.6.1","win","GB",96
"2019-10-05","07:53:16",84681891,"3.6.1","win",NA,1
"2019-10-05","07:53:37",84775261,"3.6.1","win",NA,1
"2019-10-05","07:53:52",5598886,"3.6.1","win","IR",97
"2019-10-05","07:54:23",84784400,"3.6.1","win","US",12
"2019-10-05","07:54:40",84774938,"3.6.1","win",NA,1
"2019-10-05","07:54:45",84774915,"3.6.1","win","IT",98
"2019-10-05","17:36:01",84796253,"3.6.1","win",NA,1
"2019-10-05","17:36:02",84926817,"3.6.1patched","win","US",11
"2019-10-05","17:36:26",83735563,"3.6.0","win","CO",99
"2019-10-05","17:36:51",84778668,"3.6.1","win","GH",100
"2019-10-05","17:37:36",84919309,"devel","win","US",23
"2019-10-05","17:38:29",84775643,"3.6.1","win","PL",101
"2019-10-05","17:38:14",79425940,"3.6.1","osx","GB",102
"2019-10-05","17:38:32",84681891,"3.6.1","win","CN",103
"2019-10-05","17:38:43",84919536,"devel","win","US",37
"2019-10-05","17:39:03",84929645,"3.6.1patched","win","US",20
"2019-10-05","17:39:29",84776262,"3.6.1","win",NA,1
"2019-10-05","17:40:03",84774841,"3.6.1","win","RO",104
"2019-10-05","17:40:07",84776908,"3.6.1","win","SG",105
"2019-10-05","17:40:30",79426716,"3.6.1","osx",NA,1
"2019-10-05","07:30:37",79434661,"3.6.1","osx","GB",106
"2019-10-05","07:30:45",79426054,"latest","osx","US",3
"2019-10-05","07:31:13",84775300,"3.6.1","win","KR",107
"2019-10-05","07:31:15",84681891,"3.6.1","win",NA,1
"2019-10-05","07:31:21",77351386,"3.4.4","osx","US",3
"2019-10-05","07:32:36",74889290,"3.3.3","osx","US",3
"2019-10-05","07:33:04",84774766,"3.6.1","win","TW",108
"2019-10-05","07:34:15",84935571,"3.6.1patched","win","US",12
"2019-10-05","07:34:42",84775821,"3.6.1","win","PL",109
"2019-10-05","07:34:56",79426057,"3.6.1","osx","KR",110
"2019-10-05","04:56:09",79425985,"3.6.1","osx","CA",111
"2019-10-05","04:56:22",43628,"2.11.0","osx","US",112
"2019-10-05","04:58:44",84681895,"3.6.1","win","PH",113
